"ResourceType","TerraformName","MicrosoftProvider","APIVersions","MappingSource","DocumentationPath"
"DataSource","azurerm_eventgrid_domain","Microsoft.EventGrid","2025-02-15","GeneratedAPISection","website/docs/d/eventgrid_domain.html.markdown"
"DataSource","azurerm_eventgrid_domain_topic","Microsoft.EventGrid","2025-02-15","GeneratedAPISection","website/docs/d/eventgrid_domain_topic.html.markdown"
"DataSource","azurerm_eventgrid_partner_namespace","Microsoft.EventGrid","2025-02-15","GeneratedAPISection","website/docs/d/eventgrid_partner_namespace.html.markdown"
"DataSource","azurerm_eventgrid_partner_registration","Microsoft.EventGrid","2025-02-15","GeneratedAPISection","website/docs/d/eventgrid_partner_registration.html.markdown"
"DataSource","azurerm_eventgrid_system_topic","Microsoft.EventGrid","2025-02-15","GeneratedAPISection","website/docs/d/eventgrid_system_topic.html.markdown"
"DataSource","azurerm_eventgrid_topic","Microsoft.EventGrid","2025-02-15","GeneratedAPISection","website/docs/d/eventgrid_topic.html.markdown"
"DataSource","azurerm_eventhub","Microsoft.EventHub","2024-01-01","GeneratedAPISection","website/docs/d/eventhub.html.markdown"
"DataSource","azurerm_eventhub_authorization_rule","Microsoft.EventHub","2024-01-01","GeneratedAPISection","website/docs/d/eventhub_authorization_rule.html.markdown"
"DataSource","azurerm_eventhub_cluster","Microsoft.EventHub","2024-01-01","GeneratedAPISection","website/docs/d/eventhub_cluster.html.markdown"
"DataSource","azurerm_eventhub_consumer_group","Microsoft.EventHub","2024-01-01","GeneratedAPISection","website/docs/d/eventhub_consumer_group.html.markdown"
"DataSource","azurerm_eventhub_namespace","Microsoft.EventHub","2024-01-01","GeneratedAPISection","website/docs/d/eventhub_namespace.html.markdown"
"DataSource","azurerm_eventhub_namespace_authorization_rule","Microsoft.EventHub","2024-01-01","GeneratedAPISection","website/docs/d/eventhub_namespace_authorization_rule.html.markdown"
"DataSource","azurerm_eventhub_sas","","","Unmapped","website/docs/d/eventhub_sas.html.markdown"
"DataSource","azurerm_express_route_circuit","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/express_route_circuit.html.markdown"
"DataSource","azurerm_express_route_circuit_peering","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/express_route_circuit_peering.html.markdown"
"DataSource","azurerm_extended_location_custom_location","Microsoft.ExtendedLocation","2021-08-15","GeneratedAPISection","website/docs/d/extended_location_custom_location.html.markdown"
"DataSource","azurerm_extended_locations","","","Unmapped","website/docs/d/extended_locations.html.markdown"
"DataSource","azurerm_firewall","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/firewall.html.markdown"
"DataSource","azurerm_firewall_policy","Microsoft.Network","2025-01-01","GeneratedAPISection","website/docs/d/firewall_policy.html.markdown"
"DataSource","azurerm_function_app_host_keys","Microsoft.Web","2023-12-01","GeneratedAPISection","website/docs/d/function_app_host_keys.html.markdown"
"DataSource","azurerm_graph_services_account","Microsoft.GraphServices","2023-04-13","GeneratedAPISection","website/docs/d/graph_services_account.html.markdown"
"DataSource","azurerm_hdinsight_cluster","Microsoft.HDInsight","2021-06-01","GeneratedAPISection","website/docs/d/hdinsight_cluster.html.markdown"
"DataSource","azurerm_healthcare_dicom_service","Microsoft.HealthcareApis","2024-03-31","GeneratedAPISection","website/docs/d/healthcare_dicom_service.html.markdown"
"DataSource","azurerm_healthcare_fhir_service","Microsoft.HealthcareApis","2022-12-01","GeneratedAPISection","website/docs/d/healthcare_fhir_service.html.markdown"
"DataSource","azurerm_healthcare_medtech_service","Microsoft.HealthcareApis","2022-12-01","GeneratedAPISection","website/docs/d/healthcare_medtech_service.html.markdown"
"DataSource","azurerm_healthcare_service","Microsoft.HealthcareApis","2022-12-01","GeneratedAPISection","website/docs/d/healthcare_service.html.markdown"
"DataSource","azurerm_healthcare_workspace","Microsoft.HealthcareApis","2024-03-31","GeneratedAPISection","website/docs/d/healthcare_workspace.html.markdown"
"DataSource","azurerm_image","Microsoft.Compute","2022-03-01","GeneratedAPISection","website/docs/d/image.html.markdown"
"DataSource","azurerm_images","Microsoft.Compute","2022-03-01","GeneratedAPISection","website/docs/d/images.html.markdown"
"DataSource","azurerm_iothub","Microsoft.Devices","","MatchingResource:ARMImportID","website/docs/d/iothub.html.markdown"
